country,country_code,nutslevel,nuts2,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Austria,AT,2,AT11,Burgenland,Parliament,1990,FPO,Freedom Party of Austria,Freiheitliche Partei Osterreichs,463,19508,205541,181855,176831
Austria,AT,2,AT11,Burgenland,Parliament,1990,GRUNE,The Greens -- The Green Alternative,Die Grunen - Die grune Alternative,1659,4122,205541,181855,176831
Austria,AT,2,AT11,Burgenland,Parliament,1990,OTHER,NA,NA,NA,465,205541,181855,176831
Austria,AT,2,AT11,Burgenland,Parliament,1990,OVP,Austrian People's Party,Osterreichische Volkspartei,1329,62675,205541,181855,176831
Austria,AT,2,AT11,Burgenland,Parliament,1990,SPO,Social Democratic Party of Austria,Sozialdemokratische Partei Osterreichs,1384,88547,205541,181855,176831
Austria,AT,2,AT11,Burgenland,Parliament,1990,VGO,United Greens Austria,Vereinte Grune Osterreichs,1170,1514,205541,181855,176831
Austria,AT,2,AT11,Burgenland,Parliament,1994,FPO,Freedom Party of Austria,Freiheitliche Partei Osterreichs,463,29935,212341,182883,178953
Austria,AT,2,AT11,Burgenland,Parliament,1994,GRUNE,The Greens -- The Green Alternative,Die Grunen - Die grune Alternative,1659,6413,212341,182883,178953
Austria,AT,2,AT11,Burgenland,Parliament,1994,LIF,Liberal Forum,Liberales Forum,605,5164,212341,182883,178953
Austria,AT,2,AT11,Burgenland,Parliament,1994,OTHER,NA,NA,NA,1323,212341,182883,178953
Austria,AT,2,AT11,Burgenland,Parliament,1994,OVP,Austrian People's Party,Osterreichische Volkspartei,1329,56520,212341,182883,178953
Austria,AT,2,AT11,Burgenland,Parliament,1994,SPO,Social Democratic Party of Austria,Sozialdemokratische Partei Osterreichs,1384,79598,212341,182883,178953
Austria,AT,2,AT11,Burgenland,Parliament,1995,FPO,Freedom Party of Austria,Freiheitliche Partei Osterreichs,463,30650,212319,185081,180705
Austria,AT,2,AT11,Burgenland,Parliament,1995,GRUNE,The Greens -- The Green Alternative,Die Grunen - Die grune Alternative,1659,4210,212319,185081,180705
Austria,AT,2,AT11,Burgenland,Parliament,1995,LIF,Liberal Forum,Liberales Forum,605,5597,212319,185081,180705
